,Name,Rating,Reviews,Details
0,United Spirits,4.0,(562),Beverage | Bengaluru +96 other locations
1,LendingKart,3.6,(562),NBFC | Ahmedabad +46 other locations
2,MITS Global Consulting,4.5,(562),Recruitment | Mumbai +12 other locations
3,WPP Media,3.6,(559),Marketing & Advertising | Gurugram +27 other locations
4,The Times of India,3.6,(558),Media & Entertainment | New Delhi +53 other locations
5,Toothsi,2.7,(559),Internet | Mumbai +20 other locations
6,IKF Finance,3.9,(559),NBFC | Hyderabad +133 other locations
7,AM Infoweb,3.8,(558),BPO | Pune +8 other locations
8,Haldiram Snacks,3.9,(558),Food Processing | Noida +69 other locations
9,FiveS Digital,3.3,(558),BPO | Jamshedpur +27 other locations
10,Artemis Hospitals,4.1,(558),Healthcare | Gurugram +20 other locations
11,Carlsberg,4.0,(558),Beverage | Gurugram +68 other locations
12,Kirloskar Pneumatic,4.0,(557),Industrial Machinery | Pune +22 other locations
13,GSPANN Technologies,4.0,(557),IT Services & Consulting | Hyderabad +9 other locations
14,Innominds Software,3.2,(557),IT Services & Consulting | Hyderabad +7 other locations
15,Kellogg Brown and Root,4.1,(556),Engineering & Construction | Chennai +36 other locations
16,Practo,2.9,(555),Internet | Bengaluru +24 other locations
17,Courtyard by Marriott,4.2,(555),Hospitality | Mumbai +41 other locations
18,Craftsman Automation,3.8,(556),Auto Components | Coimbatore +26 other locations
19,Unimoni,3.9,(555),Travel & Tourism | Chennai +137 other locations
